0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:58:15 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:58:16 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:58:30 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:58:52 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:58:53 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:58:53 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:58:53 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:59:29 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [23/Apr/2021:11:59:45 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [23/Apr/2021:12:00:08 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [23/Apr/2021:12:00:49 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [23/Apr/2021:12:07:11 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [23/Apr/2021:12:07:35 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [23/Apr/2021:12:10:55 +0900] "GET /0421_Web_Basic/typingEffect_Ex.html HTTP/1.1" 200 1285
